location,fire_age4,fire_age3,fire_age2,fire_age1,fire_age0,Herbs,Shrub,Treed broadleaf,Treed conifer,Treed mixed,Water,Bryoid,Rock,year,week,n_days_effort,Barren-ground Caribou,gray_wolf,grizzly_bear,Muskox,camera,cluster,elevation,esker_camera_distances
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,42,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,43,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,44,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,45,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,46,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,47,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,48,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,49,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,50,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,51,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,52,5,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,1,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,2,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,3,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,4,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,5,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,6,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,7,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,8,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,9,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,10,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,11,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,12,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,13,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,14,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,15,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,16,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,17,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2022,18,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
